Input_context,Input_title,Input_url
how many awards did she win for muneca brava?,Artistic_career,https://en.wikipedia.org/wiki/Natalia_Oreiro#Artistic_career
how many weeks was babou safe on the x factor,In_X_Factor,https://en.wikipedia.org/wiki/Babou_(singer)#In_X_Factor
tell me about the tv she has acted,Filmography,https://en.wikipedia.org/wiki/Sophie_Colquhoun#Filmography
tell me about his albums,Songwriting_and_production_credits,https://en.wikipedia.org/wiki/Steven_Lee_(music_producer)#Songwriting_and_production_credits
which producer had the most titles?,Writing_and_production_credits,https://en.wikipedia.org/wiki/Eightysix_(Andras_Vleminckx)#Writing_and_production_credits
how many mills were mentioned or built before 1700?,C,https://en.wikipedia.org/wiki/List_of_windmills_in_Hertfordshire#C
tell me what album had the most sold,List_of_number-one_albums_of_2012_(Finland),https://en.wikipedia.org/wiki/List_of_number-one_albums_of_2012_(Finland)
tell me the number of directors for arunthathi,List_of_Tamil_films_of_1943,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_1943
how many episodes aired in may 1995?,Episodes,https://en.wikipedia.org/wiki/Legend_(TV_series)#Episodes
how many were directed by adam miller?,Episode_list,https://en.wikipedia.org/wiki/List_of_Mongrels_episodes#Episode_list
how many songs from this album were produced by rick long?,Track_listing_Prophets_Vs._Profits,https://en.wikipedia.org/wiki/The_Mix_Tape_(KRS-One_album)#Track_listing_Prophets_Vs._Profits
tell me about this place,Administrative_divisions,https://en.wikipedia.org/wiki/Andalusia#Administrative_divisions
what were the only 2 years there were riaa gold certifications?,As_featured_artist,https://en.wikipedia.org/wiki/The_Notorious_B.I.G._discography#As_featured_artist
how many total rolling stock vehicles were in service?,Roster_of_passenger_rolling_stock,https://en.wikipedia.org/wiki/Petaluma_and_Santa_Rosa_Railroad#Roster_of_passenger_rolling_stock
summarize the opinions,Public_opinion,https://en.wikipedia.org/wiki/Same-sex_marriage_in_New_Jersey#Public_opinion
how many albums garnered chart positions?,Albums,https://en.wikipedia.org/wiki/Stephin_Merritt_discography#The_Magnetic_Fields
tell me about these films,Upcoming,https://en.wikipedia.org/wiki/List_of_American_superhero_films#Upcoming
how many oil and gas industries made the top 10 in ranking of revenue list?,List_of_largest_companies_by_revenue,https://en.wikipedia.org/wiki/List_of_largest_companies_by_revenue#List_of_largest_companies_by_revenue
how many buildings on the list are taller than 200 feet?,Tallest_buildings,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Minneapolis#Tallest_buildings
tell me about these singles,Singles,https://en.wikipedia.org/wiki/Modest_Mouse_discography#Singles
Tell me about Rybczyński's short films,Filmography of Zbigniew Rybczyński,https://en.wikipedia.org/wiki/Zbigniew_Rybczy%C5%84ski?oldformat=true#Filmography
What are the major mountain peaks in the Dolomites region?,Major peaks of Dolomites,https://en.wikipedia.org/wiki/Dolomites?oldformat=true#Major_peaks
Which people live in Northern Dobruja?,Demographics of Northern Dobruja,https://en.wikipedia.org/wiki/Northern_Dobruja?oldformat=true#Demographics
How did Filip Holosko do in international scoccer games?,International goals of Filip Holosko,https://en.wikipedia.org/wiki/Filip_Holo%C5%A1ko?oldformat=true#International_goals
"What are the tallest buildings in Oakland, California?","Tallest buildings in Oakland, California","https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Oakland,_California?oldformat=true#Tallest_buildings"
What are the major political parties in Japan?,Parties currently represented in the national Diet in Japan,https://en.wikipedia.org/wiki/List_of_political_parties_in_Japan?oldformat=true#Parties_currently_represented_in_the_national_Diet
Tell me about the J-class ships in the royal navy of UK,J class ships pf the Royal Navy,"https://en.wikipedia.org/wiki/J-,_K-_and_N-class_destroyer?oldformat=true#J_class"
Tell me about the teams and their performance in the 2007 San Jose Grand Prix Race,2007 San Jose Grand Prix at Redback Raceway,https://en.wikipedia.org/wiki/2007_San_Jose_Grand_Prix_at_Redback_Raceway?oldformat=true#Race
Which NBA players have the most rebounds in a single game?,List of National Basketball Association players who have had 38 or more rebounds in a single game,https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_single-game_rebounding_leaders?oldformat=true
what are the world's largest movie theatre chains?,the world's largest movie theatre chains,https://en.wikipedia.org/wiki/List_of_movie_theater_chains?oldformat=true#Global_cinema_chains
Tell me about the racing records of Hans-Joachim Stuck in 24 Hours of Le Mans,Complete 24 Hours of Le Mans results,https://en.wikipedia.org/wiki/Hans-Joachim_Stuck?oldformat=true#Complete_24_Hours_of_Le_Mans_results
Can you introduce to me Richard Strauss's operas?,List of operas by Richard Strauss,https://en.wikipedia.org/wiki/List_of_operas_by_Richard_Strauss?oldformat=true
Were there any non-fatal wolf attacks in the year 2019? Tell me about those attacks.,List of non-fatal wolf attacks in North America,https://en.wikipedia.org/wiki/List_of_wolf_attacks_in_North_America?oldformat=true#Non-fatal_attacks
How did Jonathan Faña do in the 2014 FIFA World Cup qualification?,International goals of Jonathan Faña,https://en.wikipedia.org/wiki/Jonathan_Fa%C3%B1a?oldformat=true#International_goals
"who had hosted the Daytime Emmy Award, and how well did they do?",Ratings of Daytime Emmy Award,https://en.wikipedia.org/wiki/Daytime_Emmy_Award?oldformat=true#Ratings
"How's the climate like in Santa Monica, California?","Climate of Santa Monica, California","https://en.wikipedia.org/wiki/Santa_Monica,_California?oldformat=true#Climate"
How's Gina Bellman's recently doing in TV shows?,Film and Television of Gina Bellman,https://en.wikipedia.org/wiki/Gina_Bellman?oldformat=true#Filmography
What car models do Winnebago make?,Current model range of Winnebago,https://en.wikipedia.org/wiki/Winnebago_Industries?oldformat=true#Current_model_range
"Tell me about Cherry Jones' ""best actress in a play"" awards and nominations.",Awards and nominations of Cherry Jones,https://en.wikipedia.org/wiki/Cherry_Jones?oldformat=true#Awards_and_nominations
"Which episodes in ""Veritas: The Quest"" were directed by Perry Lang? Tell me about them.        ","Episodies of ""Veritas: the Quest""",https://en.wikipedia.org/wiki/Veritas:_The_Quest?oldformat=true#Episodes
Tell me about the recent lego games that I can play on my phone.,List of Lego video games,https://en.wikipedia.org/wiki/List_of_Lego_video_games?oldformat=true
Who have won the NCAA Women's Water Polo Championship?,Champions of NCAA Women's Water Polo Championship,https://en.wikipedia.org/wiki/NCAA_Women%27s_Water_Polo_Championship?oldformat=true#Champions
"Tell me about the ""American McGee"" games produced by Spicy Horse",Products by Spicy Horse,https://en.wikipedia.org/wiki/Spicy_Horse?oldformat=true#Products
Which TV stations serve Indianapolis? How are they?,Full-power television stations in Indiana,https://en.wikipedia.org/wiki/List_of_television_stations_in_Indiana#Full-power_stations
Tell me about the games that the Giants lost in 1952.,1952 New York Giants season Schedule,https://en.wikipedia.org/wiki/1952_New_York_Giants_season
Tell me about the Brisbane Broncos games with the largest crowds in 2007,2007 Brisbane Broncos season match results,https://en.wikipedia.org/wiki/2007_Brisbane_Broncos_season#2007_match_results
Tell me about the Pearl Jam 1993 tour in the North American,North America Leg,https://en.wikipedia.org/wiki/Pearl_Jam_1993_European_and_North_American_Tour#Tour_dates
Tell me about the FIFA games played by Marek Leśniak,Marek Leśniak International goals,https://en.wikipedia.org/wiki/Marek_Le%C5%9Bniak#International_goals
Tell me about the football stadiums with the largest number of seats in Northern Ireland.,List of association football stadiums in Northern Ireland,https://en.wikipedia.org/wiki/List_of_association_football_stadiums_in_Northern_Ireland
How did each country do in the  at the 1966 Central American and Caribbean Games?,Medal table,https://en.wikipedia.org/wiki/Athletics_at_the_1966_Central_American_and_Caribbean_Games#Medal_table
Tell me about Eddie Royal's returning statistics,"Eddie Royal, Returning",https://en.wikipedia.org/wiki/Eddie_Royal#Career_statistics
Which countries won the most medals in the ISSF 25 meter pistol woman team championship?,"ISSF 25 meter pistol, World Championships, Women Team","https://en.wikipedia.org/wiki/ISSF_25_meter_pistol#World_Championships,_Women_Team"
Tell me about the games that the bulldogs won in 2009.,2009 Mississippi State Bulldogs football team schedule,https://en.wikipedia.org/wiki/2009_Mississippi_State_Bulldogs_football_team#Schedule
How did the students and their grades change in the past few years's AP Chemistry exams?,"AP Chemistry, grade distribution",https://en.wikipedia.org/wiki/AP_Chemistry#Grade_distribution
How did UK drivers perform in the 1960 Glover Trophy?,1960 Glover Trophy,https://en.wikipedia.org/wiki/1960_Glover_Trophy
which racer won the most races in the 1998 Indy Racing League? Tell me about those races.,1998 Indy Racing League Schedule,https://en.wikipedia.org/wiki/1998_Indy_Racing_League#Schedule
Tell me about the games that the Mystics won in 2008,2008 Washington Mystics season schedule,https://en.wikipedia.org/wiki/2008_Washington_Mystics_season#Season_schedule
Tell me about the Maschler Award-winning books,Kurt Maschler Award Winners,https://en.wikipedia.org/wiki/Kurt_Maschler_Award
Tell me about the top 5 most heavily populated census subdivisions in Canada,List of the 100 largest municipalities in Canada by population,https://en.wikipedia.org/wiki/List_of_the_100_largest_municipalities_in_Canada_by_population#List
"How's the population in Tomponsky District, Russia?","Tomponsky District, Inhabited localities",https://en.wikipedia.org/wiki/Tomponsky_District#Inhabited_localities
Tell me about IFK Visby's performance in recent years,"IFK Visby, Season to Season",https://en.wikipedia.org/wiki/IFK_Visby
Tell me about the mountains of the Alps with largest prominance,List of Alpine peaks by prominence,https://en.wikipedia.org/wiki/List_of_Alpine_peaks_by_prominence
Tell me about the competitors in the 1995 Señorita Panamá,Señorita Panamá 1995 Contestants,https://en.wikipedia.org/wiki/Se%C3%B1orita_Panam%C3%A1_1995#Contestants
Tell me about the games that the Badgers lost in 1981,1981 Wisconsin Badgers football team schedule,https://en.wikipedia.org/wiki/1981_Wisconsin_Badgers_football_team#Schedule
Tell me about the songs that had the most weeks on the uk singles chart in 1994,List of UK top-ten singles in 1994,https://en.wikipedia.org/wiki/List_of_UK_top-ten_singles_in_1994#Top-ten_singles
Who have carried the national flag of Georgia at the opening ceremony of the Olympic Games?,List of flag bearers for Georgia at the Olympics,https://en.wikipedia.org/wiki/List_of_flag_bearers_for_Georgia_at_the_Olympics
Medal ranks of Canoeing at the 2011 Pan American Games,Canoeing at the 2011 Pan American Games,https://en.wikipedia.org/wiki/Canoeing_at_the_2011_Pan_American_Games#Medal_table
"Tell me about the captains of France national rugby union team, and their matches as captain",Matches as captain,https://en.wikipedia.org/wiki/List_of_France_national_rugby_union_team_records#Matches_as_captain
Tell me about the largest stadiums in the world,"List of covered stadiums by capacity, Field Sports",https://en.wikipedia.org/wiki/List_of_covered_stadiums_by_capacity#Field_sports
Tell me aboutthe deadliest attacks in Europe since 2010,Terrorism in Europe,https://en.wikipedia.org/wiki/Terrorism_in_Europe#Deadliest_attacks
Tell me about the top10 highest mountains on Earth,List of highest mountains on Earth,https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth#List
Tell me about the products by Almirall,"Almirall, Main Products",https://en.wikipedia.org/wiki/Almirall#Main_products
How did Berlin Thunder do in the 2007 season?,2007 Berlin Thunder season schedule,https://en.wikipedia.org/wiki/2007_Berlin_Thunder_season#Schedule
Tell me about the top 5 most heavily populated districts in Lima,List of districts of Lima,https://en.wikipedia.org/wiki/List_of_districts_of_Lima
How did Khalid Al Rowaihi perform in his career?,Khalid Al Rowaihi,https://en.wikipedia.org/wiki/Khalid_Al_Rowaihi
Can you tell me some popular tools for social network analysis?,social network analysis tools and libraries,https://en.wikipedia.org/wiki/Social_network_analysis_software
Who were the fastest in the 1976 Speed skating at the 1976 Winter Olympics – Men's 500 metres? Tell me about them.,Speed skating at the 1976 Winter Olympics – Men's 500 metres,https://en.wikipedia.org/wiki/Speed_skating_at_the_1976_Winter_Olympics_%E2%80%93_Men%27s_500_metres
Tell me about the top 5 most heavily populated counties in North Carolina,List of counties in North Carolina,https://en.wikipedia.org/wiki/List_of_counties_in_North_Carolina
Which races of people live in Alaska?,Demographics of Alaska,https://en.wikipedia.org/wiki/Demographics_of_Alaska#Ancestry
Tell me about aviation accidents/incidents in the past decade.,"Aviation accidents and incidents, Statistics",https://en.wikipedia.org/wiki/Aviation_accidents_and_incidents#Statistics
"How's the climate in Fairfield, California?","Climate of Fairfield, California","https://en.wikipedia.org/wiki/Fairfield,_California#Climate"
Tell me about Japan's disinflated economy,Japan an example of disinflated economy,https://en.wikipedia.org/wiki/Disinflation#Japan_an_example_of_disinflated_economy
Tell me about the American battles with the most fatalities,Most lethal American Battles,https://en.wikipedia.org/wiki/List_of_battles_with_most_United_States_military_fatalities#Battles
Which are the largest banks in Turkey?,List of banks in Turkey by total assets,https://en.wikipedia.org/wiki/List_of_banks_in_Turkey#List_of_banks_in_Turkey_by_total_assets
Tell me about Ahsan's career as an movie actress,Jaya Ahsan Films,https://en.wikipedia.org/wiki/Jaya_Ahsan#Films
What languages are used in Warsaw Governorate,"Warsaw Governorate, Language",https://en.wikipedia.org/wiki/Warsaw_Governorate
How did the Buckeyes do in 1982?,1982 Ohio State Buckeyes football team Schedule,https://en.wikipedia.org/wiki/1982_Ohio_State_Buckeyes_football_team#Schedule
Which films have the biggest worldwide openings?,Biggest worldwide openings on record,https://en.wikipedia.org/wiki/List_of_highest-grossing_openings_for_films
Tell me about the victims of the series killer Gary Ridgway.,"Gary Ridgway, victims",https://en.wikipedia.org/wiki/Gary_Ridgway#Victims
Where are the tallest Ferris wheels in the world?,World's tallest Ferris wheels,https://en.wikipedia.org/wiki/Ferris_wheel#World's_tallest_Ferris_wheels
I want to knowTim Schafer's video game works,"Tim Schafer, Works",https://en.wikipedia.org/wiki/Tim_Schafer#Works
What are the highest grossing films in 1987?,"Highest-grossing films (U.S.), 1987",https://en.wikipedia.org/wiki/1987_in_film#Highest-grossing_films_(U.S.)
Who were the fastest drivers in the 2008 Canadian Grand Prix Race？,2008 Canadian Grand Prix Race,https://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix#Race_2
Who were the fastest drivers in the 2005 British Grand Prix Race？,2005 British Grand Prix Race,https://en.wikipedia.org/wiki/2005_British_Grand_Prix#Race
How was the World records for men's athletics in 2008?,"2008 in the sport of athletics, words record (men)",https://en.wikipedia.org/wiki/2008_in_the_sport_of_athletics#Men
Tell me about the IBM personal system models,"IBM Personal System, Models",https://en.wikipedia.org/wiki/IBM_Personal_System/2#Models
Which ships were attacked by the German submarine U-9?,"German submarine U-9, Ships attacked",https://en.wikipedia.org/wiki/German_submarine_U-9_(1935)#Fate
"what films had the highest weekend gross in Canada, 2008?",List of 2008 box office number-one films in Canada,https://en.wikipedia.org/wiki/List_of_2008_box_office_number-one_films_in_Canada#Weekend_gross_list
Tell me about Jonathan Cochet's career as a racing driver.,Jonathan Cochet Career Results,https://en.wikipedia.org/wiki/Jonathan_Cochet#Career_results
Which are the richest/poorest countries in Africa?,"Economy of Africa, Nations",https://en.wikipedia.org/wiki/Economy_of_Africa#African_nations
Which are the largest companies in Poland?,"Poland, Economy, Corporations",https://en.wikipedia.org/wiki/Poland#Corporations
Tell me about the annual number of passengers in Oulu Airpor.,Oulu Airport Statistics,https://en.wikipedia.org/wiki/Oulu_Airport#Statistics
Tell me about the schools in the Middle Atlantic Conferences (Freedom),MAC Freedom,https://en.wikipedia.org/wiki/Middle_Atlantic_Conferences#MAC_Freedom
Tell me about the Islamic contries with highest/lowest GDPs.,List of Organisation of Islamic Cooperation member states by GDP (PPP),https://en.wikipedia.org/wiki/List_of_Organisation_of_Islamic_Cooperation_member_states_by_GDP_(PPP)
Which schools are in the ECAC Hockey conference?,"ECAC Hockey, Members",https://en.wikipedia.org/wiki/ECAC_Hockey#Membership
What are the most popular religions in Northern Ireland?,Religion in Northern Ireland,https://en.wikipedia.org/wiki/Religion_in_Northern_Ireland#Statistics
which countries had the most medals in the 1995 World Wrestling Championships?,"1995 World Wrestling Championships, Medal table",https://en.wikipedia.org/wiki/1995_World_Wrestling_Championships#Medal_table
Tell me about the record of Edmonton Rush,Edmonton Rush All-time Record,https://en.wikipedia.org/wiki/Edmonton_Rush#All-time_record
Which languages are spoken in Masilonyana?,Masilonyana Local Municipality,https://en.wikipedia.org/wiki/Masilonyana_Local_Municipality#Main_places
Who won the medals of Cross-country skiing at the 2014 Winter Olympics – Men's 15 kilometre classical?,Cross-country skiing at the 2014 Winter Olympics – Men's 15 kilometre classical,https://en.wikipedia.org/wiki/Cross-country_skiing_at_the_2014_Winter_Olympics_%E2%80%93_Men%27s_15_kilometre_classical
Tell me about the Syrian Air Force bases.,List of Syrian Air Force bases,https://en.wikipedia.org/wiki/List_of_Syrian_Air_Force_bases
"Who were the fastest drivers in the 2003 Australian motorcycle Grand Prix, 250 cc classification?","2003 Australian motorcycle Grand Prix, 250 cc classification",https://en.wikipedia.org/wiki/2003_Australian_motorcycle_Grand_Prix#250_cc_classification
How were the ratings of Oprah's Big Gave show?,Ratings of Oprah's Big Gave,https://en.wikipedia.org/wiki/Oprah%27s_Big_Give#Ratings
Which countries performed the best at the men's major golf championships?,"List of men's major championships winning golfers, By Country",https://en.wikipedia.org/wiki/List_of_men%27s_major_championships_winning_golfers#By_country
Tell me about the best songs in South Korea in 2012.,"List of number-one hits of 2012 (South Korea), Monthly Chart",https://en.wikipedia.org/wiki/List_of_Gaon_Digital_Chart_number_ones_of_2012#Monthly_charts
Who played in the women's ice hockey tournament of the 2010 Winter Olympics for the U.S.?,"List of United States women's national ice hockey team rosters, 2010 winter Olympics",https://en.wikipedia.org/wiki/List_of_United_States_women%27s_national_ice_hockey_team_rosters
Tell me about Sandy Mayer's career in single tennis games,"Sandy Mayer, Career Finals (singles)",https://en.wikipedia.org/wiki/Sandy_Mayer#Career_finals
Tell me about the longest-running Broadway shows,List of the longest-running Broadway shows,https://en.wikipedia.org/wiki/List_of_the_longest-running_Broadway_shows
Which California counties had the largest percentage of people voting for Obama in 2012?,"2012 United States presidential election in California, by County",https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_California#By_county
Tell me about the National Natural Landmarks in Hawaii.,List of National Natural Landmarks in Hawaii,https://en.wikipedia.org/wiki/List_of_National_Natural_Landmarks_in_Hawaii
